KODE_KPP;NAMA_KPP;;
;KP2KP Blangkejeran;;
;KP2KP Lhoksukon;;
;KP2KP Calang;;
;KP2KP Blang Pidie;;
;KP2KP Piru;;
;KP2KP Suka Makmur;;
;KP2KP Singkil;;
;KP2KP Kerobokan;;
;KP2KP Takengon;;
;KP2KP Negara;;
;KP2KP Sigli;;
;KP2KP Amlapura;;
;KP2KP Ubud;;
;KP2KP Sabang;;
;KP2KP Siak Sri Indrapura;;
;KP2KP Bagan Siapiapi;;
;KP2KP Daik;;
;KP2KP Duri;;
;KP2KP Pasir Pangarayan;;
;KP2KP Ranai;;
;KP2KP Selat Panjang;;
;KP2KP Sinabang;;
;KP2KP Teluk Kuantan;;
;KP2KP Rimba Raya;;
;KP2KP Tembilahan;;
;KP2KP Caruban;;
;KP2KP Magetan;;
;KP2KP Pacitan;;
;KP2KP Sumenep;;
;KP2KP Wlingi;;
;KP2KP Nganjuk;;
;KP2KP Bangil;;
;KP2KP Lumajang;;
;KP2KP Kraksaan;;
;KP2KP Bondowoso;;
;KP2KP Wonogiri;;
;KP2KP Sragen;;
;KP2KP Wonosobo;;
;KP2KP Pulau Pramuka;;
;KP2KP Rangkas Bitung;;
;KP2KP Banjar;;
;KP2KP Pelabuhan Ratu;;
;KP2KP Sumber;;
;KP2KP Bumiayu;;
;KP2KP Purwodadi ;;
;KP2KP Rembang;;
;KP2KP Ungaran;;
;KP2KP Banjarnegara;;
;KP2KP Trenggalek;;
;KP2KP Tanjung Batu;;
;KP2KP Jantho;;
;KP2KP Sampang;;
;KP2KP Tliamuta;;
;KP2KP Majalengka;;
00-;KP2KP Sekadau;;
00-;KP2KP Saumlaki;;
00-;KP2KP Sarmi;;
00-;KP2KP Sambas;;
00-;KP2KP Sanana;;
00-;KP2KP Wamena;;
00-;KP2KP Rantau;;
00-;KP2KP Putussibau;;
00-;KP2KP Puruk Cahu;;
00-;KP2KP Pulang Pisau;;
00-;KP2KP Serui;;
00-;KP2KP Soe;;
00-;KP2KP Buntok;;
00-;KP2KP Tual;;
00-;KP2KP Tomohon;;
00-;KP2KP Tidore;;
00-;KP2KP Tondano;;
00-;KP2KP Teminabuan;;
00-;KP2KP Tamiang Layang;;
00-;KP2KP Talaud;;
00-;KP2KP Taiwang;;
00-;KP2KP Sukamara;;
00-;KP2KP Selong;;
00-;KP2KP Waikabubak;;
00-;KP2KP Kandangan;;
00-;KP2KP Kaimana;;
00-;KP2KP kalabahi;;
000;KP2KP Makale;;
000;KP2KP Raha;;
000;KP2KP Sidrap;;
000;KP2KP Muko-Muko;;
000;KP2KP Bintuhan;;
000;KP2KP Manna;;
000;KP2KP Baradatu;;
000;KP2KP Menggala;;
000;KP2KP Liwa;;
000;KP2KP Sukadana;;
000;KP2KP Masamba;;
000;KP2KP Benteng;;
000;KP2KP Sungguminasa;;
000;KP2KP Tobiali;;
000;KP2KP Tugu Mulyo;;
000;KP2KP Tebing Tinggi;;
000;KP2KP Inderalaya;;
000;KP2KP Pangkajene;;
000;KP2KP Sangatta;;
000;KP2KP Tanah Grogot;;
000;KP2KP Sendawar;;
000;KP2KP Tanjung Selor;;
000;KP2KP Malinau;;
000;KP2KP Nunukan;;
000;KP2KP Bandarjaya;;
000;KP2KP Pringsewu;;
000;KP2KP Kota Agung;;
000;KP2KP Sengeti;;
000;KP2KP Muara Bulian;;
000;KP2KP Batu Sangkar;;
000;KP2KP Sawahlunto;;
000;KP2KP Pedang Aro;;
000;KP2KP Muaro Sijunjung;;
000;KP2KP Kotabaru;;
000;KP2KP Malili;;
000;KP2KP Barru/Pinrang;;
000;KP2KP Enrekang;;
000;KP2KP Muara Tebo;;
000;KP2KP Muara Sabak;;
000;KP2KP Pasangkayu;;
000;KP2KP Kalianda;;
000;KP2KP Bontosunggu;;
000;KP2KP Watansoppeng;;
000;KP2KP Sengkang;;
000;KP2KP Sinjai;;
000;KP2KP Lasusua;;
000;KP2KP Rumbia;;
000;KP2KP Andoolo/Unaaha;;
000;KP2KP Polewali;;
000;KP2KP Mamasa;;
000;KP2KP Takalar;;
000;KP2KP Koba;;
000;KP2KP Kasongan;;
000;KP2KP Nanga Bulik;;
000;KP2KP Nangapinoh;;
000;KP2KP Ngabang;;
000;KP2KP Parigi;;
000;KP2KP Paringin;;
000;KP2KP Pelaihari;;
000;KP2KP Genung;;
000;KP2KP Fak-Fak;;
000;KP2KP Dompu;;
000;KP2KP Dobo;;
000;KP2KP Buol;;
000;KP2KP Namlea;;
000;KP2KP Nabire;;
000;KP2KP Mempawah;;
000;KP2KP Kuala Kapuas;;
000;KP2KP Kuala Kurun;;
000;KP2KP Labuanbajo;;
000;KP2KP Labuha;;
000;KP2KP Larantuka;;
000;KP2KP Limboto;;
000;KP2KP Maba;;
000;KP2KP Marabahan;;
000;KP2KP Marisa;;
000;KP2KP Martapura;;
000;KP2KP Masohi;;
000;KP2KP Bungku;;
000;KP2KP Bula;;
000;KP2KP Sibuhuan;;
000;KP2KP Manggar;;
000;KP2KP Sungai Liat;;
000;KP2KP Amuntai;;
000;KP2KP Mentok;;
000;KP2KP Amurang;;
000;KP2KP Ba'a (Kab. Rote Ndao);;
000;KP2KP Bajawa;;
000;KP2KP Bintuni;;
000;KP2KP Bengkayang;;
000;KP2KP Kuala Pembuang;;
000;KP2KP Banggai;;
000;KP2KP Kepahiang;;
000;KP2KP Banawa;;
115;KP2KP Tanjung Balai;;
116;KP2KP Kualuh Hulu;;
116;KP2KP Kota Pinang;;
117;KP2KP Perdagangan;;
118;KP2KP Panyabungan;;
126;KP2KP Pandan;;
126;KP2KP Gunung Sitoli;;
127;KP2KP Tarutung;;
127;KP2KP Dolok Sanggul;;
128;KP2KP Sidikalang;;
201;KP2KP Tua Pejat;;
201;KP2KP Painan;;
201;KP2KP Pariaman;;
202;KP2KP Padang Panjang;;
202;KP2KP Lubuk Sikaping;;
202;KP2KP Lubuk Basung;;
202;KP2KP Simpang Ampat;;
203;KP2KP Kotabaru;;
302;KP2KP Martapura (Kab.OKI Timur);;
302;KP2KP Muaradua (Kab. OKU Selatan);;
309;KP2KP Pagar Alam;;
313;KP2KP Muara Enim;;
314;KP2KP Pangkalan Balai;;
332;KP2KP Rimbo Bujang;;
333;KP2KP Sungai Penuh;;
333;KP2KP Sarolangun;;
